Rank;Organic Keywords;Organic Traffic;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
33664;11713;62703;28486;0;0;0;20260715
33562;12892;62900;36336;0;0;0;20260615
33219;24910;62334;47047;0;0;0;20260515
31953;28436;67792;39969;0;0;0;20260415
28958;36815;75189;60157;0;0;0;20260315
28310;46039;75835;44955;0;0;0;20260215
26708;43327;81620;59671;0;0;0;20260115
30749;36913;71598;42053;0;0;0;20251215
25024;32707;87414;138867;0;0;0;20251115
26536;32771;81579;40017;0;0;0;20251015
28811;32794;76143;29269;0;0;0;20250915
23771;32415;99001;109702;0;0;0;20250815
23951;31656;92771;30875;0;0;0;20250715
25366;35975;85823;44106;0;0;0;20250615
22084;38515;101035;39010;0;0;0;20250515
23720;39207;95035;44701;0;0;0;20250415
21407;46000;106950;83933;0;0;0;20250315
28185;38985;81133;47448;0;0;0;20250215
25315;38340;97038;63382;0;0;0;20250115
28677;29684;84714;35168;0;0;0;20241215
33017;23531;72956;32837;0;0;0;20241115
34985;22241;66171;19950;0;0;0;20241015
33305;22462;70990;39119;0;0;0;20240915
33943;24823;69507;38442;0;0;0;20240815
