Keyword;Position;Previous Position;Search Volume;CPC;Traffic (%);Traffic Cost (%);Competition;Number of Results;Url
ppa tour;1;1;18100;2.07;21.76;64.74;0.33;0;https://ppatour.com/
ppa pickleball;1;1;4400;1.17;5.29;8.89;0.01;171;https://ppatour.com/
ppa tour schedule;1;1;2400;0.89;2.88;3.68;0.33;107;https://ppatour.com/schedule/
anna leigh waters;2;2;22200;0.00;1.00;0.00;0.33;109;https://ppatour.com/athlete/anna-leigh-waters/
pickleball rankings;1;1;2400;0.00;0.89;0.00;0.33;124;https://ppatour.com/player-rankings/
ppatour;1;1;720;1.08;0.86;1.34;0.33;129;https://ppatour.com/
ppa tour schedule 2025;1;1;590;0.00;0.70;0.00;0.01;84;https://ppatour.com/
ppa tournaments;1;1;590;0.97;0.70;0.98;0.01;129;https://ppatour.com/
ppa tournament;1;1;590;0.97;0.70;0.98;0.01;124;https://ppatour.com/
alshon;1;1;1600;0.00;0.59;0.00;0.33;112;https://ppatour.com/athlete/christian-alshon/
ppa;3;3;49500;3.57;0.59;3.05;0.05;109;https://ppatour.com/
carvana ppa tour;1;1;480;0.49;0.57;0.40;0.01;107;https://ppatour.com/
pickleball televised;3;3;5400;1.93;0.52;1.46;0.33;105;https://ppatour.com/watch/
gabe tardio;1;1;1300;0.00;0.48;0.00;0.33;102;https://ppatour.com/athlete/gabriel-tardio/
hayden patriquin;1;1;2400;0.00;0.47;0.00;0.01;105;https://ppatour.com/athlete/hayden-patriquin/
hunter johnson;1;1;2400;0.00;0.47;0.00;0.33;125;https://ppatour.com/athlete/hunter-johnson/
ppa results;1;1;390;0.00;0.46;0.00;0.33;105;https://ppatour.com/
ppa tour results today;1;1;390;0.00;0.46;0.00;0.33;113;https://ppatour.com/
anna bright;2;2;4400;0.00;0.42;0.00;0.33;107;https://ppatour.com/athlete/anna-bright/
ppa results today;1;1;320;0.00;0.38;0.00;0.33;107;https://ppatour.com/
kate fahey;1;1;1000;0.00;0.37;0.00;0.33;103;https://ppatour.com/athlete/kate-fahey/
christian alshon;1;1;1000;0.00;0.37;0.00;0.33;107;https://ppatour.com/athlete/christian-alshon/
ppa masters 2026;1;1;1000;0.00;0.37;0.00;0.33;109;https://ppatour.com/tournament/2026/the-ppa-masters-powered-by-invited/
ben johns;2;2;8100;1.00;0.36;0.52;0.03;107;https://ppatour.com/athlete/ben-johns/
genie bouchard;5;0;12100;0.00;0.34;0.00;0.33;125;https://www.ppatour.com/athletes/genie-bouchard/
lea jansen;1;1;880;0.00;0.32;0.00;0.33;82;https://ppatour.com/athlete/lea-jansen/
catherine parenteau;1;1;1600;0.00;0.31;0.00;0.33;107;https://ppatour.com/athlete/catherine-parenteau/
tyson mcguffin;1;1;1600;0.61;0.31;0.27;0.05;107;https://ppatour.com/athlete/tyson-mcguffin/
professional pickleball;1;1;1600;1.05;0.31;0.47;0.28;163;https://ppatour.com/
ppa tour results;1;1;260;0.00;0.31;0.00;0.33;108;https://ppatour.com/
professional pickleball association;1;1;260;0.00;0.31;0.00;0.01;107;https://ppatour.com/
ppa pickleball schedule;1;1;260;0.00;0.31;0.00;0.33;106;https://ppatour.com/
pickleball ppa;1;1;260;3.04;0.31;1.36;0.01;164;https://ppatour.com/
ppa tournament schedule;1;1;260;0.00;0.31;0.00;0.33;32;https://ppatour.com/
jorja johnson;2;2;1300;0.00;0.25;0.00;0.33;102;https://ppatour.com/athlete/jorja-johnson/
pickleball players;1;1;1300;0.00;0.25;0.00;0.33;162;https://ppatour.com/player-rankings/
federico staksrud;1;1;1300;0.00;0.25;0.00;0.33;104;https://ppatour.com/athlete/federico-staksrud/
ppa pickleball tour 2025;1;1;210;0.00;0.25;0.00;0.04;88;https://ppatour.com/
ppa tour pickleball;1;1;210;0.00;0.25;0.00;0.33;106;https://ppatour.com/
ppa pickleball schedule 2026;1;0;210;0.65;0.25;0.23;0.01;104;https://www.ppatour.com/events/
