Name,Manufacturer,Paddle Model,Thickness,Model #
Abbigail Hatton,Luzz,PRO-CANNON,16MM,PRO-CANNON
Adam Harvey,Luzz,PRO-CANNON,16MM,PRO-CANNON
AJ Koller,Franklin,C45 Dynasty 16MM,16MM,59232C1
Albie Huang,Joola,Perseus Pro IV 16mm,16MM,P16G4D
Alex Walker,CRBN,TRUFOAM BARRAGE 4,14MM,TFB4
Allison Phillips,PaddleTek,GTO-C 14.3mm,14.3MM,PGTO143A
Allyce Jones,CRBN,TRUFOAM BARRAGE 2,14MM,TFB2
Anderson Scarpa,CRBN,TRUFOAM BARRAGE 4,14MM,TFB4
Andre Mercado,CRBN,TRUFOAM BARRAGE 3,14MM,TFB3
Andrei Daescu,CRBN,TRUFOAM BARRAGE 2,14MM,TFB2
Angie Walker,CRBN,TRUFOAM BARRAGE 4,14MM,TFB4
Anna Bright,Joola,Scorpeus Pro V 14mm,14MM,S14G5D
Anna Leigh Waters,Franklin,C45 Hybrid,14MM,59220
Anour Braham,Selkirk,Project Boomstik Elongated,16MM,872278257
Ashley Griffith,CRBN,TRUFOAM BARRAGE 2,14MM,TFB2
Audrey Brown,PaddleTek,GTO-C 14.3mm,14.3MM,PGTO143A
Augie Ge,11SIX24,Vapor Power 2,16MM,W212.63-V
Ava Ignatowich,PaddleTek,PT25-2/V-1.0 16mm,16MM,PT25-2F16
Ben Johns,Joola,Perseus Pro V 16mm,16MM,P16G5D
Bhatia,Joola,Perseus Pro V 16mm,16MM,P16G5D
Blaine Hovenier,SixZero,Coral,16MM,409016
Boydston,Joola,Perseus Pro V 16mm,16MM,P16G5D
Brandon French,Joola,Agassi Pro V 14mm,14MM,A14G5D
Brooke buckner,Joola,Agassi Pro V 14mm,14MM,A14G5D
Caitlyn Campbell,Selkirk,Project Boomstik Elongated,16MM,872278257
Callie Smith,SixZero,Coral,16MM,409016
Camden Chaffin,PIKKL,Hurricane Pro,14MM,HP14
Caruso,Joola,Perseus Pro V 16mm,16MM,P16G5D
Cason Campbell,Luzz,PRO-CANNON,16MM,PRO-CANNON
Catherine Parenteau,Joola,Scorpeus Pro V 14mm,14MM,S14G5D
Chris Haworth,Luzz,"TORNAZO, PRO-BLADE 2",16MM,"TORNAZO, PRO-BLADE 2"
Christian Alshon,PaddleTek,PT25-2/V-1.0 16mm,16MM,PT25-2F16
CJ  Klinger,Adidas,ADIPOWER RX PRO 16,16MM,ADPK06
Cleo Bond,Adidas,ADIPOWER RX PRO 16,16MM,ADPK06
Collin Johns,Joola,Scorpeus Pro V 16mm,16MM,S16G5D
Connor Garnett,PaddleTek,PT25-1/V-1.0 14mm,14MM,PT25-1F14
Connor Mogle,CRBN,TRUFOAM BARRAGE 4,14MM,TFB4
Dekel Bar,11SIX24,Vapor Power 2,16MM,W212.63-V
Diskon,Joola,Perseus Pro V 16mm,16MM,P16G5D
DJ Young,Joola,Perseus Pro V 16mm,16MM,P16G5D
Dylan Frazier,Volair,SHIFT HYB,14MM,V0005
Ella Cosmos,Friday,Fever 102 E,16MM,FL102E
Elsie Hendershot,PaddleTek,ESQ-C 12.7mm,12.7MM,PESQ127A
Eric Oncins,Engage,X2,16MM,E411
Eric Oncins,Engage,Alpha Pro 14mm,14MM,E311
Federico Stakstrud,Joola,Kosmos Pro V 16mm,16MM,K16G5D
G. Morelli,Joola,Scorpeus IV 14mm,14MM,S14G4D
Gabe Joseph,SixZero,Coral,16MM,409016
Gabriel Tardio,Facolos,EliteX Extreme Edition ELG,16MM,FEE162508
Genie Erokhina,Joola,Scorpeus Pro V 16mm,16MM,S16G5D
George R,CRBN,TRUFOAM WAVES 3,14MM,TFW3
Greg Dow,Warping Point,Phoenix 16,16MM,PHX1601
Hayden Patriquin,Franklin,C45 Dynasty 16MM,16MM,59252
Isabella Dunlop,PaddleTek,TKO-C 14.3mm,14.3MM,ptk0143a
Ivan J.,Nox,X-FOAM JC6,16MM,XFNPC0616
Jack Sock,Selkirk,Project Boomstik Elongated,16MM,872278257
Jalina Ingram,Vulcan,OO3,16MM,003
James Delgado,Adidas,ADIPOWER RX PRO 16,16MM,ADPK06
Jamie Weh,CRBN,TRUFOAM BARRAGE 1,14MM,TFB1
Jaume Martinez Vich,Adidas,ADIPOWER RX PRO 16,16MM,ADPK06
Jay Devillers,SixZero,Coral,16MM,409016
Jessie Irvine,Engage,Alpha Pro 14mm,14MM,E311
John Lucian Goins,Joola,Perseus Pro V 16mm,16MM,P16G5D
Jonathan Truong,Joola,Scorpeus Pro V 14mm,14MM,S14G5D
Jorja Johnson,PIKKL,Hurricane Pro X,15.5MM,HPX15
Judit Castillo,Nox,X-FOAM JC6,16MM,XFNPC0616
Julian Arnold,Luzz,INFERNO,16MM,INFERNO
JW Johnson,PIKKL,Hurricane Pro X,15.5MM,HPX15
Kaitlyn Christian,Luzz,PRO BLADE 2,14MM,PRO-BLADE 2
Kate Fahey,Joola,Agassi Pro V 14mm,14MM,A14G5D
Kelly Goodnow,Joola,Kosmos Pro V 14mm,14MM,K14G5D
Keilly Ulrey,Joola,Perseus Pro IV 14mm,14MM,P14G4D
Kiora Kunimoto,Selkirk,Project Boomstik Elongated,16MM,872278257
Lacy Schneeman,Joola,Perseus IV 16mm,16MM,P16G4D
Lauren Stratman,11SIX24,Vapor Power 2,16MM,W212.63-V
Lea Jansen,Joola,Kosmos Pro V 14mm,14MM,K14G5D
Lina Padegimaite,PIKKL,Vantage Pro X,14MM,VPX14
Lindsey Newman,,,,
L.W. Kong,Friday,Fever 102 E,16MM,FL102E
